Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
Mableton Pharmacy,Cobb,0,0,13500,"3600"
marietta dermatology and skin cancer cen,Cobb,0,0,0,"0"
marietta eye clinic,Cobb,0,0,100,"0"
marietta family medicine,Cobb,0,0,0,"0"
marietta office,Cobb,0,0,1500,"0"
Marietta Public Health Center,Cobb,0,0,36000,"29700"
Metro Atlanta Ambulance Service,Cobb,31200,7105,800,"800"
northwest georgia orthopaedic sc,Cobb,0,0,0,"0"
Ob-gyn Associates Of Marietta,Cobb,0,0,0,"200"
One Medical Battery,Cobb,0,0,600,"0"
patel rajendra f md,Cobb,0,0,500,"0"
Physicians Pharmacy,Cobb,0,0,15700,"5800"
Pointmed,Cobb,0,0,100,"0"
Poole's Pharmacy,Cobb,0,0,5800,"700"
Publix Pharmacy #0033,Cobb,0,0,1000,"200"
Publix Pharmacy #1250,Cobb,0,0,1000,"200"
Publix Pharmacy#0086,Cobb,0,0,1400,"500"
Publix Pharmacy#0122,Cobb,0,0,1000,"200"
Publix Pharmacy#0146,Cobb,0,0,1200,"500"
Publix Pharmacy#0155,Cobb,0,0,1000,"200"
Publix Pharmacy#0280,Cobb,0,0,1400,"500"
Publix Pharmacy#0464,Cobb,0,0,1000,"200"
Publix Pharmacy#0496,Cobb,0,0,1000,"700"
Publix Pharmacy#0536,Cobb,0,0,1000,"200"
Publix Pharmacy#0548,Cobb,0,0,1700,"500"
Publix Pharmacy#0559,Cobb,0,0,1000,"200"
Publix Pharmacy#0561,Cobb,0,0,1600,"500"
Publix Pharmacy#0566,Cobb,0,0,1400,"500"
Publix Pharmacy#0593,Cobb,0,0,1000,"200"
Publix Pharmacy#0670,Cobb,0,0,1400,"500"
Publix Pharmacy#0672,Cobb,0,0,1400,"500"
Publix Pharmacy#0725,Cobb,0,0,1000,"200"
Publix Pharmacy#0753,Cobb,0,0,1200,"500"
Publix Pharmacy#0764,Cobb,0,0,1400,"500"
Publix Pharmacy#0769,Cobb,0,0,1000,"200"
Publix Pharmacy#1077,Cobb,0,0,1000,"200"
Publix Pharmacy#1096,Cobb,0,0,1300,"400"
Publix Pharmacy#1112,Cobb,0,0,1000,"200"
Ridgeview Institute-smyrna,Cobb,0,0,200,"300"
sams club store 8203,Cobb,0,0,0,"0"
sandy plains pediatrics,Cobb,0,0,0,"0"
Smyrna Family Medicine,Cobb,0,0,200,"200"
smyrna fire rescue,Cobb,0,0,500,"0"
smyrna public health center,Cobb,0,0,0,"0"
Stand Up Family Medicine,Cobb,0,0,1300,"300"
Sterling Estates Of East Cobb,Cobb,975,0,1500,"600"
Sterling Estates Of West Cobb,Cobb,975,0,2100,"800"
sun pediatrics,Cobb,0,0,100,"0"
sun pediatricseast cobb,Cobb,0,0,100,"0"
the little clinic smyrna,Cobb,0,0,0,"0"
total care pediatrics llc,Cobb,0,0,0,"0"
Town Park Comprehensive Medical Center,Cobb,0,0,14900,"3200"
Urban Family Practice,Cobb,0,0,700,"300"
Vinings Pharmacy Llc,Cobb,0,0,300,"0"
walgreens 1646,Cobb,0,0,0,"0"
walgreens 2455,Cobb,0,0,0,"0"
walgreens 5337,Cobb,0,0,0,"0"
walgreens 5447,Cobb,0,0,0,"0"
walgreens 5485,Cobb,0,0,0,"0"
walgreens 5758,Cobb,0,0,0,"0"
walgreens 5811,Cobb,0,0,1500,"0"
walgreens 5897,Cobb,0,0,0,"0"
walgreens 5901,Cobb,0,0,0,"0"
walgreens 5902,Cobb,0,0,0,"0"
walgreens 6206,Cobb,0,0,0,"0"
walgreens 6325,Cobb,0,0,0,"0"
walgreens 6330,Cobb,0,0,0,"0"
walgreens 6461,Cobb,0,0,0,"0"
walgreens 7068,Cobb,0,0,200,"0"
walgreens 7338,Cobb,0,0,0,"0"
walgreens 7526,Cobb,0,0,0,"0"
walgreens 9452,Cobb,0,0,0,"0"
walmart 1181,Cobb,0,0,0,"0"
walmart 937,Cobb,0,0,0,"0"
walmart store 1586,Cobb,0,0,0,"0"
walmart store 1766,Cobb,0,0,0,"0"
walmart store 3069,Cobb,0,0,0,"0"
walmart store 3471,Cobb,0,0,0,"0"
walmart store 3611,Cobb,0,0,0,"0"
walmart store 3748,Cobb,0,0,0,"0"
walmart store 5390,Cobb,0,0,0,"0"
walmart store 5815,Cobb,0,0,0,"0"
Coffee Correctional Facility,Coffee,0,0,300,"0"
Coffee County Health Department,Coffee,0,0,7400,"3000"
Coffee Regional Medical Center,Coffee,0,0,9100,"4400"
Coffee Wellness Center,Coffee,0,0,900,"900"
Douglas Family Health,Coffee,0,0,1600,"600"
harveys 1601,Coffee,0,0,0,"0"
Mcraes Pharmacy,Coffee,0,0,2200,"800"
Nicholls Pharmacy Llc,Coffee,0,0,600,"200"
Nightingale Infusion,Coffee,2925,1950,500,"300"
The Medicine Cabinet,Coffee,0,0,200,"0"
walgreens 11661,Coffee,0,0,0,"0"
walmart store 593,Coffee,0,0,0,"0"
Chancy Drugs Moultrie,Colquitt,0,0,1000,"500"
Colquitt County Health Department,Colquitt,0,0,3100,"4200"
Colquitt Regional Medical Center,Colquitt,9750,3425,4400,"2600"
ellenton clinic,Colquitt,0,0,200,"0"
niday drug company,Colquitt,0,0,0,"0"
Publix Pharmacy #1540,Colquitt,0,0,1000,"300"
walgreens 12756,Colquitt,0,0,0,"0"
walmart 952,Colquitt,0,0,0,"0"
Barney's Grovetown Pharmacy,Columbia,0,0,400,"100"
Center For Primary Care,Columbia,0,0,4100,"1200"
Center For Primary Care - Mcduffie,Columbia,0,0,1100,"100"
Center For Primary Care - Gateway,Columbia,0,0,1000,"0"
Columbia County Health Dept.,Columbia,0,0,4100,"4700"
Evans Medical Group,Columbia,1950,0,10600,"2900"
Gold Cross Ems,Columbia,0,0,17000,"1700"
grovetown dialysis clinic llc,Columbia,0,0,200,"0"
Kroger Pharmacy #294,Columbia,0,0,1500,"300"
Kroger Pharmacy #414,Columbia,0,0,1400,"300"
Kroger Pharmacy 01100644,Columbia,0,0,1500,"300"
martinez urgent care,Columbia,0,0,400,"0"
perfect health always on call,Columbia,0,0,0,"0"
Publix Pharmacy#0526,Columbia,0,0,1000,"400"
Publix Pharmacy#0534,Columbia,0,0,1100,"600"
Publix Pharmacy#1286,Columbia,0,0,1600,"700"
Walgreens #06394,Columbia,0,0,800,"0"
walgreens 10602,Columbia,0,0,0,"0"
walgreens 15592,Columbia,0,0,0,"0"
walgreens 6395,Columbia,0,0,0,"0"
walgreens 7772,Columbia,0,0,0,"0"
walmart 5735,Columbia,0,0,0,"0"
walmart store 3570,Columbia,0,0,0,"0"
walmart store 4206,Columbia,0,0,0,"0"
walmart store 5813,Columbia,0,0,0,"0"
walmart store 7339,Columbia,0,0,0,"0"
Chancy Drugs Adel,Cook,0,0,1000,"400"
Cook County Health Department,Cook,0,0,2000,"1800"
Southwell,Cook,9750,975,8500,"700"
U Save It Pharmacy - Adel,Cook,0,0,900,"400"
Walmart Store 7194,Cook,0,0,1100,"800"
cancer treament centers of america south,Coweta,0,0,0,"0"
Coweta County Health Department,Coweta,0,0,9500,"8700"
encompass health rehabilitation hospital,Coweta,0,0,100,"0"
Hazelton Pharmacy,Coweta,0,0,100,"100"
Kroger Pharmacy 01100363,Coweta,0,0,1400,"300"
Kroger Pharmacy 01100420,Coweta,0,0,1400,"300"
Kroger Pharmacy 01100647,Coweta,0,0,1400,"100"
Lee-goodrum Pharmacy,Coweta,0,0,12600,"1100"
Lee King Pharmacy,Coweta,0,0,6300,"600"
new renality newnan home,Coweta,0,0,0,"0"
Peachtree Allergy & Asthma Clinic,Coweta,0,0,300,"200"
peachtree medical center newnan,Coweta,0,0,0,"0"
Piedmont Newnan Hospital,Coweta,0,0,7600,"3300"
Publix Pharmacy#0470,Coweta,0,0,1000,"200"
Publix Pharmacy#0786,Coweta,0,0,1000,"200"
Publix Pharmacy#1143,Coweta,0,0,1600,"400"
sams club store 4789,Coweta,0,0,0,"0"
Southeastern Regional Medical Center/Ctca,Coweta,975,975,0,"0"
Thompson's Pharmacy,Coweta,0,0,10100,"700"
tlc of georgia llc the little clinic new,Coweta,0,0,0,"0"
walgreens 2454,Coweta,0,0,0,"0"
walgreens 9890,Coweta,0,0,0,"0"
walmart store 494,Coweta,0,0,0,"0"
Yourtown Health Senoia,Coweta,0,0,1100,"800"
Crawford County Health Dept.,Crawford,0,0,4100,"2100"
Roberta - Careconnect Family Practice,Crawford,0,0,600,"100"
Roberta Drugs,Crawford,0,0,2200,"500"
Adams Drug Store,Crisp,0,0,1800,"400"
Crisp County Health Department,Crisp,0,0,4100,"2000"
"Crisp Regional Hospital, Inc.",Crisp,0,0,3200,"2800"
U Save It Pharmacy - Cordele,Crisp,0,0,400,"400"
walmart store 1006,Crisp,0,0,0,"0"
Dade County Health Department,Dade,0,0,10600,"3500"
Food City Pharmacy #233,Dade,0,0,100,"0"
Primary Healthcare Center Of Dade,Dade,0,0,1100,"900"
Chestatee Emergent Medical Care,Dawson,0,0,3000,"300"
Dawson County Health Department,Dawson,0,0,16000,"2600"
dawson pharmacy,Dawson,0,0,400,"0"
dawsonville family health center,Dawson,0,0,100,"0"
Good Shepherd Clinic Of Dawson County,Dawson,0,0,600,"200"
Kroger Pharmacy 01100670,Dawson,0,0,1300,"200"
Publix Pharmacy #1542,Dawson,0,0,1300,"400"
the little clinic trail creek village,Dawson,0,0,0,"0"
walmart store 3874,Dawson,0,0,0,"0"
agnes scott college student health,Decatur,0,0,0,"0"
Bainbridge Pharmacy,Decatur,0,0,1000,"900"
Decatur County Health Department,Decatur,0,0,1800,"2100"
Mainstreet Family Care,Decatur,0,975,0,"900"
Memorial Hospital And Manor Of Bainbridge,Decatur,0,0,2400,"1200"
primary care of southwest georgia bainbridge,Decatur,0,0,100,"0"
primary care of southwest georigabainbr,Decatur,0,0,0,"0"
Publix Pharmacy#0665,Decatur,0,0,1200,"700"
Rx Drug Center,Decatur,0,0,400,"200"
walmart store 5422,Decatur,0,0,0,"0"
"Albert F. Johary, M.D., P.C.",DeKalb,0,0,600,"100"
Amina Medical Consultants,DeKalb,1950,0,1500,"100"
Arbor Obgyn,DeKalb,0,0,2000,"1100"
Atlanta Center For Medicine,DeKalb,0,0,800,"0"
Briarcliff Pediatrics,DeKalb,0,0,100,"100"
Briarcliff Pharmacy,DeKalb,0,0,13400,"3400"
budd terrace at wesley woods,DeKalb,0,0,0,"0"
care plus family medicine pc,DeKalb,0,0,0,"0"
Carltons Dunwoody Pharmacy,DeKalb,0,0,7400,"0"
Cdc Occupational Health Clinic,DeKalb,975,75,0,"1500"
centrespring md,DeKalb,0,0,0,"0"
Children's Healthcare Of Atlanta At Egleston,DeKalb,4875,8775,10000,"6850"
childrens medical group atlanta,DeKalb,0,0,0,"0"
childrens medical group decatur,DeKalb,0,0,0,"0"
clarkston community health center cchc,DeKalb,0,0,0,"0"
Clinica Union,DeKalb,0,0,1000,"300"
complete care at home llc,DeKalb,0,0,0,"0"
covington clinic,DeKalb,0,0,0,"0"
cvs 4505,DeKalb,0,0,0,"0"
cvs 4684,DeKalb,0,0,0,"0"
cvs pharmacy 7689,DeKalb,0,0,0,"0"
Dekalb County Board Of Health/North Dekalb Health Center/Pharmacy DeKalb,4875,7800,40000,"26200",NA
Dekalb County Sheriff's Office,DeKalb,0,0,500,"100"
Dekalb Family Practice And Geriatrics,DeKalb,0,0,2000,"100"
dekalb pediatric center,DeKalb,975,0,2800,"0"
dialysis of lithonia,DeKalb,0,0,0,"0"
Dunwoody Pharmacy,DeKalb,0,0,2200,"830"
east dekalb health center,DeKalb,0,0,0,"0"
eastside urgent care,DeKalb,0,0,500,"0"
Emory Healthcare,DeKalb,23400,16575,15000,"1200"
Emory Healthcare Employee Health Services,DeKalb,41925,39975,17000,"9400"
Emory University The Hope Clinic,DeKalb,0,0,3300,"0"
Empower Family Medicine,DeKalb,0,0,300,"0"
Ethne Health,DeKalb,0,1950,200,"600"
first lithonia medical center,DeKalb,0,0,0,"0"
Fresenius Kidney Care Snapfinger,DeKalb,0,0,100,"0"
Fresenius Kidney Care Tucker,DeKalb,0,0,100,"0"
George West Mental Health Foundation,DeKalb,0,0,600,"500"
Georgia Bureau Of Investigation,DeKalb,0,0,200,"0"
"Georgia Family Care, Llc",DeKalb,0,0,600,"0"
Georgia Regional Hospital - Atlanta,DeKalb,0,0,1500,"1600"
global pharmacy,DeKalb,0,0,0,"0"
grace pharmacy and wellness,DeKalb,0,0,0,"0"
Greater Atlanta Family Healthcare,DeKalb,0,0,400,"200"
iora primary care belvedere,DeKalb,0,0,0,"0"
"Iresearch Atlanta, Llc",DeKalb,5850,975,6400,"300"
Kroger 210,DeKalb,0,0,1300,"900"
Kroger Pharmacy #303,DeKalb,0,0,1300,"100"
Kroger Pharmacy #318,DeKalb,0,0,400,"400"
Kroger Pharmacy #354,DeKalb,0,0,1300,"200"
Kroger Pharmacy #375,DeKalb,0,0,1300,"200"
Kroger Pharmacy #449,DeKalb,0,0,1500,"500"
Kroger Pharmacy 01100218,DeKalb,0,0,1400,"200"
Kroger Pharmacy 01100324,DeKalb,0,0,1300,"200"
Kroger Pharmacy 01100427,DeKalb,0,0,1300,"200"
Kroger Pharmacy 01100459,DeKalb,0,0,1400,"400"
Kroger Pharmacy 01100475,DeKalb,0,0,1300,"100"
Kroger Pharmacy 01100482,DeKalb,0,0,1400,"200"
Kroger Pharmacy 01100491,DeKalb,0,0,1300,"200"
Kroger Pharmacy 01100685,DeKalb,0,0,1900,"400"
Kroger Pharmacy 445,DeKalb,0,0,1300,"400"
La Vista Primary Care,DeKalb,0,0,300,"0"
Latinamerican Medical Center,DeKalb,0,0,300,"100"
Leslie C Norman Md,DeKalb,0,0,800,"100"
Lifeline Primary Care,DeKalb,975,0,7500,"400"
lifestyle improvements inc,DeKalb,0,0,0,"0"
marist school clinic,DeKalb,0,0,0,"0"
memorial drive family medicine,DeKalb,1950,0,200,"0"
Mercy Care Chamblee Meech,DeKalb,0,0,500,"500"
oakhurst medical center northlake,DeKalb,0,0,0,"0"
Oakhurst Medical Centers Inc.,DeKalb,0,0,1100,"400"
oakhurst medical centerstone mtn,DeKalb,0,0,0,"0"
oakhurst pediatrics,DeKalb,0,0,0,"0"
office of dr athanasios verras,DeKalb,0,0,0,"0"
Oscar Medical Center,DeKalb,0,0,200,"100"
Palliative Pharmacy Solutions,DeKalb,0,0,1200,"0"
panola medical office,DeKalb,0,0,0,"0"
Peachford Hospital,DeKalb,2925,2925,1200,"1200"
Personalized Primary Care,DeKalb,0,0,2700,"600"
ponce primary care,DeKalb,0,0,0,"0"
Premier Family Clinic,DeKalb,0,0,200,"0"
Publix Pharmacy #0765,DeKalb,0,0,1000,"500"
Publix Pharmacy#0269,DeKalb,0,0,1000,"500"
Publix Pharmacy#0494,DeKalb,0,0,1000,"400"
Publix Pharmacy#0544,DeKalb,0,0,1000,"400"
Publix Pharmacy#0691,DeKalb,0,0,1100,"700"
Publix Pharmacy#0723,DeKalb,0,0,1200,"600"
Publix Pharmacy#0752,DeKalb,0,0,1200,"700"
Publix Pharmacy#0773,DeKalb,0,0,1000,"500"
Publix Pharmacy#0783,DeKalb,0,0,2200,"700"
Publix Pharmacy#1363,DeKalb,0,0,1000,"500"
quest diagnostics tucker ga,DeKalb,0,0,0,"0"
recovery consultants of altanta inc,DeKalb,0,0,0,"0"
redan community pharmacy,DeKalb,0,0,2200,"0"
redan hairston pediatrics and adult,DeKalb,0,0,0,"0"
sams club store 6409,DeKalb,0,0,0,"0"
sams club store 6643,DeKalb,0,0,0,"0"
south dekalb,DeKalb,0,0,0,"0"
south dekalb family physicians,DeKalb,0,0,1000,"0"
South Dekalb Rockdale,DeKalb,0,0,300,"100"
The Kroger Company,DeKalb,0,0,1300,"300"
The Pediatric Center Of Stone Mountain,DeKalb,0,0,200,"200"
Viral Solutions,DeKalb,1950,0,500,"0"
Walgreens #05759,DeKalb,0,0,800,"0"
Walgreens #6138,DeKalb,0,0,200,"0"
walgreens 10457,DeKalb,0,0,0,"0"
walgreens 12262,DeKalb,0,0,0,"0"
walgreens 13873,DeKalb,0,0,0,"0"
walgreens 2359,DeKalb,0,0,0,"0"
walgreens 5336,DeKalb,0,0,0,"0"
walgreens 5580,DeKalb,0,0,0,"0"
walgreens 6202,DeKalb,0,0,0,"0"
walgreens 6205,DeKalb,0,0,0,"0"
walgreens 6481,DeKalb,0,0,0,"0"
walgreens 7167,DeKalb,0,0,0,"0"
walgreens 7478,DeKalb,0,0,0,"0"
walgreens 7741,DeKalb,0,0,0,"0"
walgreens 7995,DeKalb,0,0,0,"0"
walmart store 3118,DeKalb,0,0,0,"0"
walmart store 1340,DeKalb,0,0,0,"0"
walmart store 2360,DeKalb,0,0,0,"0"
walmart store 2584,DeKalb,0,0,0,"0"
walmart store 3071,DeKalb,0,0,0,"0"
walmart store 3188,DeKalb,0,0,0,"0"
walmart store 3621,DeKalb,0,0,0,"0"
walmart store 3710,DeKalb,0,0,0,"0"
walmart store 4472,DeKalb,0,0,0,"0"
Whitefoord Family Medical Center,DeKalb,0,0,300,"300"
Yager Family Medicine,DeKalb,0,0,300,"100"
Dodge County Health Department,Dodge,0,0,3100,"3300"
Dodge County Hospital,Dodge,0,0,1600,"1300"
The Prescription Shop-medical Center,Dodge,0,0,2800,"0"
Walmart Store 1018,Dodge,0,0,1000,"700"
Dooly County Hd,Dooly,0,0,5500,"1900"
Unadilla Drug Co,Dooly,0,0,1300,"700"
Aaphc Northwest Family Medical And Dental Center,Dougherty,0,0,11800,"3900"
"Aim Medical Associates, Pc Albany Internal Medicine",Dougherty,0,0,900,"400"
albany urgent care,Dougherty,0,0,100,"0"
City Of Albany Health Center,Dougherty,0,0,200,"0"
dougherty county carehere,Dougherty,0,0,0,"0"
Dougherty County Health Department,Dougherty,0,0,7800,"6900"
Medisave Pharmacy,Dougherty,0,0,100,"0"
Meredyth Surgery Center,Dougherty,0,0,200,"200"
Nightingale Infusion,Dougherty,2925,0,500,"200"
phoebe family care center,Dougherty,0,0,0,"0"
"Phoebe Putney Memorial Hospital , Inc",Dougherty,48750,18525,26000,"1100"
Publix Pharmacy#0450,Dougherty,0,0,1000,"600"
sams club store 6506,Dougherty,0,0,0,"0"
South Albany Medical Center,Dougherty,0,0,7800,"600"
southern spine and health,Dougherty,0,0,200,"0"
U Save It Pharmacy - Dawson Rd,Dougherty,0,0,500,"200"
U Save It Pharmacy - Downtown,Dougherty,0,0,300,"200"
U Save It Pharmacy - Northwest,Dougherty,0,0,600,"300"
U Save It Pharmacy - Palmyra,Dougherty,0,0,600,"400"
U Save It Pharmacy - South Albany,Dougherty,0,0,400,"200"
Walgreens #06201,Dougherty,0,0,800,"0"
walgreens 10796,Dougherty,0,0,0,"0"
Walgreens Pharmacy (#15913),Dougherty,0,0,100,"0"
walmart store 2801,Dougherty,0,0,0,"0"
walmart store 4517,Dougherty,0,0,0,"0"
Walmart Store 5797,Dougherty,0,0,1100,"500"
city of douglasville,Douglas,0,0,0,"0"
comprehensive spine and pain,Douglas,0,0,0,"0"
Douglas County Fire/Ems Department,Douglas,0,0,400,"100"
douglas pediatrics,Douglas,0,0,0,"0"
douglasville medical center,Douglas,0,0,0,"0"
Douglasville Public Health Center,Douglas,0,0,9000,"3100"
Kennesaw State Student Health,Douglas,13650,0,8800,"200"
Kroger Pharmacy 01100366,Douglas,0,0,1700,"200"
Kroger Pharmacy 01100376,Douglas,0,0,1400,"200"
Kroger Pharmacy 01100391,Douglas,0,0,1400,"300"
Kroger Pharmacy 01100485,Douglas,0,0,1400,"200"
Kroger Pharmacy 01100616,Douglas,0,0,1400,"200"
Practitioners Community Care,Douglas,0,0,400,"0"
Premier Care Family Medicine,Douglas,0,0,1700,"500"
Premier Drugstore,Douglas,0,0,5000,"600"
Publix Pharmacy#0145,Douglas,0,0,1000,"300"
Publix Pharmacy#0485,Douglas,0,0,1000,"200"
Publix Pharmacy#1139,Douglas,0,0,1100,"400"
publix pharmacy0730,Douglas,0,0,1000,"0"
sams club store 8211,Douglas,0,0,0,"0"
sylvan grove hospital,Douglas,0,0,0,"0"
the spring house at lithia springs,Douglas,0,0,0,"0"
Walgreens #17194,Douglas,0,0,800,"0"
walgreens 12106,Douglas,0,0,0,"0"
walmart store 1488,Douglas,0,0,0,"0"
walmart store 3205,Douglas,0,0,0,"0"
"Wellstar Cobb Hospital, Inc.",Douglas,64350,11700,60000,"2700"
Wellstar Douglas Hospital,Douglas,26325,8775,30000,"3000"
"Wellstar Health System, Inc",Douglas,78000,22425,70000,"4300"
Wellstar West Georgia Medical Center,Douglas,23400,975,20000,"900"
Wellstar Windy Hill Hospital,Douglas,23400,5850,20000,"1500"
wyatts pharmacy,Douglas,0,0,200,"0"
"Youth Villages, Inner Harbour Campus",Douglas,0,0,1000,"0"
Early County Health Department,Early,0,0,1900,"2500"
Hall Drug Co.,Early,1950,0,4700,"700"
Lifebrite Community Hospital Of Early,Early,0,0,500,"300"
Primary Care Of Soutwest Georgia Blakley,Early,0,0,100,"200"
Echols County Health Department New,Echols,0,0,1600,"1500"
migrant farmworkers clinic,Echols,0,0,0,"0"
altama pharmacy,Effingham,0,0,0,"0"
Effingham County Health Department,Effingham,0,0,2900,"2700"
Effingham Health System,Effingham,7800,3900,1100,"800"
Kroger #625,Effingham,0,0,1800,"300"
Southcoast Health Pediatrics,Effingham,0,0,300,"0"
walgreens 10799,Effingham,0,0,0,"0"
Walmart Store 1011,Effingham,0,0,700,"1000"
ELBERT COUNTY HEALTH DEPT,Elbert,0,0,900,"1100"
Ingles Pharmacy #65,Elbert,0,0,1200,"900"
Madden's Pharmacy,Elbert,975,0,900,"600"
Medlink Georgia - Bowman,Elbert,0,0,500,"900"
The Medical Center Of Elberton,Elbert,4875,3900,2900,"1200"
walgreens 11166,Elbert,0,0,0,"0"
walmart store 1701,Elbert,0,0,0,"0"
"Ashley Drug Company, Inc.",Emanuel,0,0,1500,"900"
East Georgia Healthcare Center Inc,Emanuel,0,0,3100,"1500"
Emanuel County Health Department,Emanuel,0,0,2900,"2500"
Emanuel Medical Center,Emanuel,0,0,1000,"900"
swainsboro dialysis llc,Emanuel,0,0,0,"0"
swainsboro healthcare pc,Emanuel,0,0,0,"0"
walgreens 11708,Emanuel,0,0,0,"0"
walmart 1024,Emanuel,0,0,0,"0"
Evans County Health Department,Evans,0,0,1400,"1400"
Evans Memorial Hospital,Evans,0,0,3200,"2600"
Southern Family Medicine Of Ga,Evans,0,0,8800,"1100"
The Drug Store,Evans,0,0,600,"300"
blue ridge pharmacy,Fannin,0,0,0,"0"
Fannin County Fire/Ems,Fannin,0,0,900,"500"
Fannin County Health Department,Fannin,975,0,4300,"2700"
Fannin Regional Hospital,Fannin,0,0,900,"900"
Georgia Mountains Health,Fannin,0,0,1500,"1000"
Ingles Pharmacy #36,Fannin,0,0,1100,"800"
Mccaysville Drug Center,Fannin,0,0,700,"0"
riverstone pharmacy,Fannin,0,0,0,"0"
walmart store 5812,Fannin,0,0,0,"0"
"Byron F. Harper, Iii, Md Pc",Fayette,0,0,600,"100"
Family Medicine Specialists,Fayette,0,0,1200,"200"
Fayette County Health Department,Fayette,0,0,5500,"5300"
gomed,Fayette,0,0,0,"0"
Kroger Pharmacy 01100315,Fayette,0,0,1400,"300"
Kroger Pharmacy 01100388,Fayette,0,0,1700,"400"
Kroger Pharmacy 01100422,Fayette,0,0,1600,"200"
Kroger Pharmacy 01100490,Fayette,0,0,1400,"100"
lifeboat medical associates,Fayette,0,0,0,"0"
Peachtree City Physicians Group,Fayette,0,0,900,"200"
peachtree medical center,Fayette,0,0,0,"0"
Piedmont Fayette Hospital,Fayette,0,0,8600,"3200"
Publix Pharmacy#0546,Fayette,0,0,1100,"500"
Publix Pharmacy#0579,Fayette,0,0,1400,"500"
Publix Pharmacy#0799,Fayette,0,0,1200,"500"
Publix Pharmacy#0892,Fayette,0,0,1500,"400"
Publix Pharmacy#1087,Fayette,0,0,1100,"400"
summit endoscopy center,Fayette,0,0,200,"0"
tlc of georgia llc the little clinic bra,Fayette,0,0,0,"0"
walgreens 12554,Fayette,0,0,0,"0"
walgreens 17952,Fayette,0,0,0,"0"
walgreens 6371,Fayette,0,0,0,"0"
walgreens 6372,Fayette,0,0,0,"0"
walmart store 3461,Fayette,0,0,0,"0"
walmart store 594,Fayette,0,0,0,"0"
Wmc Tyrone Llc,Fayette,0,0,1400,"300"
"Armuchee Pharmacy, Llc",Floyd,0,0,1300,"500"
district 11 speciality clinic,Floyd,0,0,0,"0"
Floyd County Health Department,Floyd,0,0,21100,"7100"
Floyd Medical Center,Floyd,23400,15600,19500,"5300"
gmc pharmacy llc,Floyd,0,0,200,"0"
Harbin Clinic,Floyd,0,0,3700,"400"
harbin clinic pediatrics,Floyd,0,0,500,"0"
Kroger Pharmacy 01100667,Floyd,0,0,1400,"100"
northwest georgia medical clinic pc,Floyd,0,0,400,"0"
Northwest Health District Pharmacy,Floyd,0,0,10300,"3200"
Publix Pharmacy#1403,Floyd,0,0,1200,"500"
Redmond Regional Medical Center,Floyd,2925,4875,1800,"3870"
redmond urgent care,Floyd,0,0,300,"0"
Robert J. Madden M.D.P.C.,Floyd,0,0,100,"0"
Transitions Hospice Care,Floyd,0,0,800,"300"
tyson rome plant,Floyd,0,0,0,"0"
walgreens 7199,Floyd,0,0,0,"0"
Walmart Store 5151,Floyd,0,0,1600,"1000"
walmart store 658,Floyd,0,0,0,"0"
Winslette Pharmacy,Floyd,0,0,4000,"600"
Alphacare Medical Center,Forsyth,0,0,200,"0"
Bethelview Pharmacy,Forsyth,0,0,12500,"2400"
Carroll Total Healthcare,Forsyth,0,0,200,"100"
childrens medical group suwanee,Forsyth,0,0,0,"0"
Commonwealth Primary Care,Forsyth,0,0,1300,"800"
"Comprehensive Internal Medicine, P.C.",Forsyth,975,0,4300,"0"
cvs 2279,Forsyth,0,0,0,"0"
Forsyth County Health Department,Forsyth,11700,1950,16000,"4300"
Georgia Highlands Medical Services,Forsyth,0,0,500,"200"
heart and vascular care,Forsyth,0,0,0,"0"
highlands medical plaza,Forsyth,0,0,0,"0"
Hope Family Medicine,Forsyth,9750,975,6000,"900"
infectious disease consultants johns cre,Forsyth,0,0,0,"0"
Ingles Pharmacy #455,Forsyth,0,0,1000,"700"
inspire obgyn,Forsyth,0,0,200,"0"
"Johns Creek Primary Care Physicians, Llc",Forsyth,975,0,6000,"400"
Kroger Pharmacy 01100432,Forsyth,0,0,1300,"300"
Kroger Pharmacy 01100473,Forsyth,0,0,1300,"400"
Kroger Pharmacy 01100486,Forsyth,0,0,1500,"200"
Kroger Pharmacy 01100627,Forsyth,0,0,1300,"100"
North Atlanta Primary Care,Forsyth,13650,0,9500,"800"
north pointe obgyn,Forsyth,0,0,0,"100"
Northside Hospital Forsyth,Forsyth,46800,8775,25000,"2400"
one family pediatrics llc,Forsyth,0,0,0,"0"
peach clinic,Forsyth,0,0,200,"0"
Peach Clinic,Forsyth,0,0,100,"100"
peachtre immediate care johns creek,Forsyth,0,0,0,"0"
Peachtree Women's Clinic,Forsyth,0,0,1200,"100"
"Premier Medical Associates, Pc",Forsyth,975,975,500,"400"
Publix Pharmacy #1690,Forsyth,0,0,1300,"400"
Publix Pharmacy#0049,Forsyth,0,0,1400,"500"
Publix Pharmacy#0519,Forsyth,0,0,1000,"200"
Publix Pharmacy#0565,Forsyth,0,0,1700,"700"
Publix Pharmacy#0616,Forsyth,0,0,1400,"500"
Publix Pharmacy#1089,Forsyth,0,0,1400,"400"
Publix Pharmacy#1091,Forsyth,0,0,1400,"400"
Publix Pharmacy#1130,Forsyth,0,0,1900,"600"
Publix Pharmacy#1227,Forsyth,0,0,1200,"400"
